"","StudentID","Grade"
"1",52738,"E"
"2",37517,"fail"
"3",36277,"pass"
"4",202428,"pass"
"5",183734,"E"
"6",138912,"A"
"7",123014,"E"
"8",100885,"fail"
"9",122239,"E"
"10",32695,"F"
"11",9229,"fail"
"12",184659,"pass"
"13",134692,"pass"
"14",160231,"pass"
"15",69534,"pass"
"16",100886,"A"
"17",60139,"E"
"18",139478,"fail"
"19",72992,"A"
"20",199867,"fail"
"21",138791,"A"
"22",121794,"A"
"23",138732,"pass"
"24",139806,"fail"
"25",44296,"pass"
"26",42478,"pass"
"27",154851,"E"
"28",184791,"E"
"29",158977,"E"
"30",33484,"fail"
"31",19310,"A"
"32",185563,"pass"
"33",4510,"E"
"34",184812,"pass"
"35",102992,"E"
"36",53025,"pass"
"37",27809,"fail"
"38",62427,"E"
"39",86511,"pass"
"40",45650,"fail"
"41",133536,"pass"
"42",60353,"A"
"43",183753,"pass"
"44",54072,"A"
"45",139480,"A"
"46",53610,"fail"
"47",123269,"fail"
"48",139161,"pass"
"49",100265,"E"
"50",122267,"fail"
"51",60235,"E"
"52",68061,"fail"
"53",207748,"pass"
"54",100430,"pass"
"55",159434,"A"
"56",32854,"pass"
"57",69174,"E"
"58",53988,"pass"
"59",225273,"pass"
"60",47582,"fail"
"61",140506,"E"
"62",102231,"fail"
"63",159404,"A"
"64",139204,"fail"
"65",52419,"A"
"66",60445,"A"
"67",188599,"E"
"68",52420,"A"
"69",60457,"fail"
"70",184792,"pass"
"71",122067,"pass"
"72",122015,"A"
"73",150883,"pass"
"74",62414,"pass"
"75",100513,"pass"
"76",45629,"fail"
"77",53613,"fail"
"78",52897,"fail"
"79",43691,"fail"
"80",224227,"pass"
"81",100877,"A"
"82",141804,"pass"
"83",100520,"A"
"84",139505,"E"
"85",64464,"fail"
"86",35861,"pass"
"87",60334,"pass"
"88",159422,"E"
"89",54733,"A"
"90",224973,"E"
"91",34888,"A"
"92",52889,"A"
"93",69463,"fail"
"94",100873,"pass"
"95",44107,"pass"
"96",159217,"E"
"97",53317,"fail"
"98",71182,"E"
"99",54041,"pass"
"100",159452,"pass"
"101",100590,"pass"
"102",101837,"E"
"103",159194,"A"
"104",135505,"pass"
"105",86030,"fail"
"106",37407,"pass"
"107",208484,"pass"
"108",159184,"pass"
"109",85170,"A"
"110",135458,"E"
"111",54040,"fail"
"112",53312,"A"
"113",53324,"F"
"114",133915,"pass"
"115",138782,"fail"
"116",47462,"fail"
"117",100423,"pass"
"118",60381,"fail"
"119",100595,"A"
"120",60230,"pass"
"121",84847,"E"
"122",69463,"fail"
"123",134401,"pass"
"124",21961,"fail"
"125",100379,"E"
"126",8132,"fail"
"127",139477,"pass"
"128",47462,"pass"
"129",68859,"E"
"130",52435,"fail"
"131",100076,"E"
"132",22180,"fail"
"133",60455,"pass"
"134",187918,"E"
"135",183808,"pass"
"136",159147,"fail"
"137",102248,"fail"
"138",159191,"A"
"139",206972,"pass"
"140",53268,"pass"
"141",121794,"A"
"142",207827,"pass"
"143",32698,"fail"
"144",183821,"pass"
"145",46355,"A"
"146",133536,"A"
"147",85059,"pass"
"148",85114,"A"
"149",69923,"fail"
"150",159407,"A"
"151",50146,"A"
"152",85169,"A"
"153",47458,"fail"
"154",227111,"pass"
"155",141835,"E"
"156",119352,"E"
"157",68964,"A"
"158",2674,"E"
"159",60464,"pass"
"160",141726,"fail"
"161",59729,"E"
"162",36658,"fail"
"163",52427,"A"
